Model,Label,Accuracy,Precision,Recall,ROC_AUC
Hybrid LSTM (Base),admitted_bin,0.5007006071929005,0.5007874015748032,0.9744204636290967,0.5006537834385167
LSTM (Refined),admitted_bin,0.5011676786548341,0.5014376078205866,0.6970423661071143,0.5003833051724642
LinearSVM (Base),admitted_bin,0.4990992193234136,0.49993862771572356,0.5426325606181721,0.4954552777151802
LinearSVM (tuned),admitted_bin,0.4988323213451658,0.4996920044351361,0.5403677058353318,0.4958536757458535
LogReg (Base),admitted_bin,0.4986988723560419,0.49956795457350944,0.5391686650679457,0.4950588742569194
LogReg (tuned),admitted_bin,0.49876559685060384,0.4996318114874816,0.5423661071143085,0.49546122581505264
Hybrid LSTM (Base),high_risk,0.9171949022486154,0.960824248232898,0.8976942019252294,0.973169017681327
LSTM (Refined),high_risk,0.9809167945552812,0.9989614585737364,0.9689948511305126,0.9996712680996248
LinearSVM (Base),high_risk,0.811303129378795,0.8334425513324596,0.8541526751734945,0.8962534364105798
LinearSVM (tuned),high_risk,0.8038299859878562,0.8624818577648766,0.7981867024848892,0.8963399233936508
LogReg (Base),high_risk,0.8120370988189765,0.8340067707764551,0.8548242668457577,0.8962075578121194
LogReg (tuned),high_risk,0.8045639554280376,0.8630153548543102,0.7989702261025297,0.8963161057254456
